"","yHat.sdefault","yHat.sauc1","yHat.sauc2","yHat.sauc3","yActual"
"369",1,1,1,1,1
"370",1,1,1,1,1
"372",1,1,1,1,1
"373",0,0,0,0,1
"375",1,1,1,1,1
"379",1,1,1,1,1
"380",1,1,1,1,1
"382",1,1,0,1,1
"384",1,1,1,1,1
"386",1,1,1,1,1
"389",1,1,1,1,1
"390",1,1,0,1,1
"391",1,1,1,1,1
"396",1,0,0,0,1
"399",1,1,1,1,1
"400",1,1,1,1,1
"407",0,0,0,0,1
"408",1,1,1,1,1
"409",1,1,1,1,1
"410",1,1,1,1,1
"414",1,1,1,1,1
"415",0,0,0,0,1
"416",1,1,1,1,1
"417",1,1,1,1,1
"419",1,1,1,1,1
"420",1,1,1,1,1
"421",0,0,0,0,1
"424",1,1,1,1,1
"425",1,1,1,1,1
"426",1,0,0,0,1
"429",1,1,1,1,1
"430",1,1,1,1,1
"433",1,1,1,1,1
"435",1,1,1,1,1
"436",0,0,0,0,1
"438",0,0,0,0,1
"440",1,1,1,1,1
"442",0,0,0,0,1
"444",0,0,0,0,1
"445",0,0,0,0,1
"448",1,1,1,1,1
"450",1,1,1,1,1
"451",0,0,0,0,1
"455",1,1,1,1,1
"457",1,1,1,1,1
"458",0,0,0,0,1
"459",1,1,1,1,1
"461",1,1,1,1,1
"463",1,1,1,1,1
"464",1,1,1,1,1
"467",1,1,1,1,1
"469",0,1,1,0,1
"470",1,1,1,1,1
"474",0,0,0,0,1
"475",1,1,1,1,1
"480",1,1,0,1,1
"481",1,1,1,1,1
"483",0,0,0,0,1
"485",0,0,0,0,1
"487",0,0,1,0,1
"488",1,1,1,1,1
"492",1,1,0,1,1
"493",0,0,0,0,1
"494",1,1,1,1,1
"496",1,1,1,1,1
"497",1,1,1,1,1
"498",0,0,0,0,1
"502",0,0,0,0,1
"504",0,1,1,1,1
"505",1,1,1,1,1
"506",1,1,1,1,1
"509",0,0,0,0,1
"511",1,1,1,1,1
"512",0,0,1,0,1
"514",1,1,1,1,1
"516",1,1,1,1,1
"517",1,1,1,1,1
"520",1,1,1,1,1
"521",0,0,0,0,1
"522",1,1,1,1,1
"525",1,1,1,1,1
"526",0,0,0,0,1
"528",1,1,1,1,1
"529",1,0,0,0,1
"530",1,1,1,1,1
"531",1,1,1,1,1
"533",1,1,1,1,1
"534",1,1,1,1,1
"535",1,1,1,1,1
"536",1,1,1,1,1
"537",1,1,1,1,1
"539",1,1,1,1,1
"545",1,1,1,1,1
"550",0,0,0,0,1
"551",0,0,0,0,1
"553",1,1,1,1,1
"556",0,0,0,0,1
"557",0,0,0,0,1
"561",1,1,1,1,1
"564",1,1,1,1,1
"566",1,1,1,1,1
"569",1,1,1,1,1
"572",1,1,1,1,1
"573",1,1,1,1,1
"574",1,1,1,1,1
"576",1,1,0,1,1
"579",1,1,1,1,1
"581",1,1,1,1,1
"585",1,1,1,1,1
"586",0,0,0,0,1
"588",1,0,0,1,1
"589",1,1,1,1,1
"591",0,0,0,0,1
"592",1,1,1,1,1
"593",1,1,1,1,1
"594",1,1,1,1,1
"596",1,1,1,1,1
"599",1,1,0,1,1
"600",1,1,1,1,1
"606",0,0,0,0,1
"607",1,1,1,1,1
"609",0,0,0,0,1
"610",0,0,1,0,1
"613",0,0,0,0,1
"617",0,0,0,0,1
"618",1,1,1,1,1
"621",0,0,0,0,1
"622",1,1,0,1,1
"625",1,1,1,1,1
"626",1,1,1,1,1
"627",1,1,1,1,1
"628",0,0,0,0,1
"629",1,1,1,1,1
"631",1,1,1,1,1
"632",1,1,1,1,1
"633",0,0,0,0,1
"635",1,1,1,1,1
"636",0,0,0,0,1
"637",1,1,1,1,1
"639",1,1,1,1,1
"641",1,1,1,1,1
"643",1,1,1,1,1
"644",0,0,0,0,1
"646",1,1,1,1,1
"647",0,0,0,0,1
"648",1,1,1,1,1
"650",0,0,0,0,1
"651",1,1,0,1,1
"652",0,0,0,0,1
"653",1,1,1,1,1
"655",1,1,1,1,1
"657",1,1,1,1,1
"658",0,0,0,0,1
"660",1,1,1,1,1
"666",0,0,0,0,1
"668",1,1,1,1,1
"669",0,1,1,1,1
"670",0,0,0,0,1
"672",1,1,1,1,1
"676",1,1,1,1,1
"678",1,1,1,1,1
"679",0,0,0,0,1
"680",0,0,0,0,1
"681",1,1,1,1,1
"682",1,1,1,1,1
"683",1,1,1,1,1
"684",1,1,1,1,1
"687",0,0,0,0,1
"689",1,1,1,1,1
"690",1,1,1,1,1
"694",1,1,1,1,1
"695",1,1,1,1,1
"696",1,1,1,1,1
"698",1,1,1,1,1
"700",1,0,0,0,1
"704",1,1,1,1,1
"705",1,1,1,1,1
"708",1,1,1,1,1
"710",0,0,0,0,1
"714",1,1,1,1,1
"716",1,1,1,1,1
"718",0,0,0,0,1
"719",1,1,0,1,1
"722",0,0,0,0,1
"723",1,1,1,1,1
"725",0,0,0,0,1
"726",1,1,1,1,1
"728",1,1,1,1,1
"730",1,1,1,1,1
"733",1,1,1,1,1
"735",0,0,0,0,1
"736",1,1,0,0,1
"738",1,1,1,1,1
"740",0,0,0,0,1
"741",0,0,0,0,1
"742",1,1,1,1,1
"749",1,1,1,1,1
"750",1,0,0,0,1
"759",1,1,1,1,1
"761",0,0,0,0,1
"762",1,1,1,1,1
"765",1,1,1,1,1
"766",0,0,0,0,1
"767",1,1,1,1,1
"768",1,1,1,1,1
"769",1,1,1,1,1
"770",1,1,1,1,1
"771",1,1,1,1,1
"775",1,1,1,1,1
"777",0,0,0,0,1
"778",1,1,1,1,1
"779",1,1,1,1,1
"780",0,0,1,0,1
"781",0,0,0,0,1
"784",1,1,1,1,1
"785",1,1,1,1,1
"787",1,1,1,1,1
"788",1,1,1,1,1
"791",1,1,1,1,1
"795",1,1,1,1,1
"796",0,0,0,0,1
"797",0,0,1,0,1
"798",1,1,1,1,1
"800",1,0,0,0,1
"801",0,0,0,0,1
"803",1,1,1,1,1
"805",1,1,1,1,1
"806",1,1,0,1,1
"809",0,0,0,0,1
"810",0,0,0,0,1
"811",1,1,1,1,1
"812",1,1,1,1,1
"816",0,0,0,0,1
"818",1,1,1,1,1
"824",1,1,1,1,1
"825",1,1,1,1,1
"826",0,0,0,0,1
"829",1,1,1,0,1
"831",1,1,1,1,1
"832",1,1,1,1,1
"833",0,0,0,0,1
"836",0,0,0,0,1
"838",1,1,1,1,1
"840",1,1,1,1,1
"843",1,1,1,1,1
"844",0,0,0,0,1
"845",0,0,0,0,1
"846",1,1,1,1,1
"847",0,0,0,0,1
"849",0,0,0,0,1
"850",1,1,0,1,1
"852",0,0,0,0,1
"853",1,1,1,1,1
"854",0,0,0,0,1
"855",0,0,0,0,1
"858",1,1,1,1,1
"859",0,0,0,0,1
"860",1,1,1,1,1
"864",0,0,0,0,1
"868",0,0,0,0,1
"869",0,0,0,0,1
"870",1,1,1,1,1
"876",1,1,1,1,1
"877",1,1,1,1,1
"880",1,1,1,1,1
"881",1,1,1,1,1
"886",0,0,0,0,1
"890",1,1,1,1,1
"892",0,0,0,0,1
"894",1,1,1,1,1
"895",0,0,0,0,1
"897",1,1,1,1,1
"900",0,1,1,0,1
"901",1,1,1,1,1
"905",1,1,1,1,1
"908",1,1,1,1,1
"910",1,0,0,0,1
"912",0,0,0,0,1
"915",0,0,0,0,1
"916",1,1,0,1,1
"919",0,0,0,0,1
"920",1,1,1,1,1
"921",0,0,0,0,1
"926",1,1,1,1,1
"927",0,0,0,0,1
"928",1,1,1,1,1
"931",0,1,1,1,1
"933",1,1,1,1,1
"939",1,1,1,1,1
"945",1,1,1,1,1
"947",0,0,0,1,1
"949",1,0,0,0,1
"953",1,1,1,1,1
"954",1,1,1,1,1
"956",1,1,1,1,1
"958",0,0,0,0,1
"959",1,1,1,1,1
"960",0,0,0,0,1
"961",1,1,1,1,1
"963",0,0,0,0,1
"964",1,1,1,1,1
"965",1,1,1,1,1
"967",0,0,0,0,1
"968",1,1,1,1,1
"969",1,1,1,1,1
"972",1,1,1,1,1
"973",0,0,0,0,1
"974",1,1,1,1,1
"976",1,1,1,1,1
"978",1,1,1,1,1
"981",1,1,1,1,1
"982",1,1,1,1,1
"984",1,1,1,1,1
"985",1,1,1,1,1
"986",0,0,0,0,1
"990",1,1,1,1,1
"993",0,0,0,0,1
"994",1,1,1,1,1
"998",1,0,0,0,1
"1000",0,0,0,0,1
"1001",0,0,0,0,1
"1002",0,0,0,0,1
"1004",1,1,1,1,1
"1005",1,1,1,1,1
"1007",1,1,1,1,1
"1008",0,0,0,0,1
"1011",1,1,1,1,1
"1013",0,0,0,0,1
"1014",1,1,1,1,1
"1015",1,1,1,1,1
"1016",1,1,1,1,1
"1017",0,0,0,0,1
"1018",1,0,0,0,1
"1020",0,0,1,1,1
"1022",1,1,1,1,1
"1025",1,0,0,0,1
"1026",1,1,1,1,1
"1027",1,1,1,1,1
"1028",1,1,1,1,1
"1031",0,0,0,0,1
"1032",1,1,0,1,1
"1033",1,1,1,1,1
"1034",1,1,1,1,1
"1037",1,0,0,0,1
"1038",1,1,1,1,1
"1040",1,1,1,1,1
"1042",1,1,1,1,1
"1043",1,1,1,1,1
"1044",1,1,1,1,1
"1045",1,1,1,1,1
"1048",1,1,1,1,1
"1057",1,1,1,1,1
"1060",1,1,1,1,1
"1064",0,0,0,0,1
"1067",1,1,1,1,1
"1070",0,0,0,0,1
"1071",1,1,1,1,1
"1073",1,1,1,1,1
"1074",1,1,1,1,1
"1076",0,0,0,0,1
"1077",0,0,0,0,1
"1079",1,1,1,1,1
"1081",1,1,1,1,1
"1082",1,1,1,1,1
"1088",0,0,0,0,1
"1091",0,0,0,0,1
"1092",0,0,0,0,1
"1093",0,0,0,0,1
"1094",1,1,1,1,1
"1100",0,0,0,0,1
"1101",1,1,1,1,1
"1104",1,1,1,0,1
"1105",1,1,1,1,1
"1110",1,1,1,1,1
"1112",1,1,1,1,1
"1114",0,0,0,0,1
"1115",1,1,1,1,1
"1117",0,0,0,0,1
"1119",1,1,1,1,1
"1120",0,0,0,0,1
"1121",1,1,1,1,1
"1123",1,1,1,1,1
"1126",1,1,1,1,1
"1127",1,1,1,1,1
"1131",1,1,1,1,1
"1133",1,1,1,1,1
"1138",1,1,1,1,1
"1139",0,0,0,0,1
"1140",1,1,1,1,1
"1141",0,1,1,0,1
"1142",0,0,0,0,1
"1143",1,1,1,1,1
"1145",0,0,0,0,1
"1148",0,0,0,0,1
"1150",1,1,1,1,1
"1152",1,0,0,0,1
"1154",1,1,1,1,1
"1155",1,1,1,1,1
"1156",0,0,0,0,1
"1160",1,1,1,1,1
"1163",0,0,0,0,1
"1164",1,1,1,1,1
"1168",1,1,1,1,1
"1169",1,1,1,1,1
"1170",1,1,1,1,1
"1171",1,1,1,1,1
"1173",1,1,1,1,1
"1175",1,1,1,1,1
"1177",0,0,0,0,1
"1180",1,1,1,1,1
"1188",1,1,0,1,1
"1189",0,0,0,0,1
"1190",1,1,1,1,1
"1193",1,1,1,1,1
"1194",1,1,1,1,1
"1195",1,1,1,1,1
"1199",1,1,1,1,1
"1201",1,1,1,1,1
"1202",1,1,1,1,1
"1205",1,1,1,1,1
"1206",0,0,0,0,1
"1208",0,0,0,0,1
"1212",1,1,1,1,1
"1213",1,1,1,1,1
"1215",1,1,1,1,1
"1217",1,1,1,1,1
"1219",1,1,1,1,1
"1220",0,0,0,0,1
"1224",1,1,1,1,1
"1226",0,0,0,0,1
"1229",1,1,1,1,1
"1230",1,1,1,1,1
"1231",1,1,1,1,1
"1235",0,0,0,0,1
"1237",1,1,1,1,1
"1238",0,0,0,0,1
"1239",1,1,1,1,1
"1243",0,0,0,0,1
"1244",0,0,0,0,1
"1245",1,1,1,1,1
"1246",1,1,1,1,1
"1250",1,1,1,1,1
"1251",1,1,1,1,1
"1254",1,1,1,0,1
"1256",1,1,1,1,1
"1259",0,0,0,0,1
"1260",1,1,1,1,1
"1261",0,0,0,0,1
"1265",1,1,1,1,1
"1267",1,1,1,1,1
"1270",1,1,1,1,1
"1272",0,0,0,0,1
"1274",1,1,1,1,1
"1275",1,1,1,1,1
"1276",0,0,0,0,1
"1277",1,1,1,1,1
"1283",0,0,0,0,1
"1284",1,1,1,1,1
"1285",1,1,1,1,1
"1288",0,0,0,0,1
"1289",1,1,1,1,1
"1292",1,1,1,1,1
"1293",0,0,0,0,1
"1295",1,1,1,1,1
"1296",1,1,1,1,1
"1299",1,1,1,1,1
"1300",1,1,1,1,1
"1301",1,1,1,1,1
"1302",1,1,1,1,1
"1303",1,1,1,1,1
"1305",1,1,1,1,1
"1310",1,1,1,1,1
"1312",1,1,1,1,1
"1316",0,0,0,0,1
"1317",1,1,1,1,1
"1319",1,1,1,1,1
"1322",1,1,0,1,1
"1324",1,1,1,1,1
"1326",1,1,1,1,1
"1328",1,1,1,1,1
"1329",1,0,1,0,1
"1331",0,0,0,0,1
"1332",1,1,1,1,1
"1333",1,1,1,1,1
"1334",1,1,1,1,1
"1336",1,1,1,1,1
"1341",1,1,1,1,1
"1342",0,0,0,0,1
"1343",1,1,1,1,1
"1344",1,1,1,1,1
"1346",0,0,0,0,1
"1348",1,1,1,1,1
"1350",0,0,0,0,1
"1352",1,1,1,1,1
"1353",0,0,0,0,1
"1354",0,0,0,0,1
"1356",0,0,0,0,1
"1357",0,0,0,0,1
"1358",1,1,1,1,1
"1360",1,1,1,1,1
"1362",0,0,0,0,1
"1363",0,0,0,0,1
"1364",0,1,1,1,1
"1368",1,1,1,1,1
"1369",1,1,1,1,1
"1371",1,1,1,1,1
"1372",1,1,1,1,1
"1373",1,1,1,1,1
"1376",1,1,1,1,1
"1380",1,1,1,1,1
"1384",1,1,1,1,1
"1386",1,1,1,1,1
"1387",1,1,1,1,1
"1388",0,0,0,0,1
"1391",1,1,1,1,1
"1393",1,1,1,1,1
"1394",1,1,1,1,1
"1395",1,1,1,1,1
"1397",1,1,1,1,1
"1398",0,0,0,0,1
"1402",1,1,1,1,1
"1404",0,0,0,0,1
"1405",0,0,0,0,1
"1407",0,0,0,0,1
"1410",1,1,1,1,1
"1411",1,1,1,1,1
"1412",1,1,1,1,1
"1417",1,1,1,1,1
"1420",1,1,1,1,1
"1423",1,1,1,1,1
"1425",0,0,0,0,1
"1428",1,1,1,1,1
"1430",1,1,1,1,1
"1431",1,1,1,1,1
"1433",0,0,0,0,1
"1434",1,1,0,1,1
"1438",1,1,1,1,1
"1440",1,1,1,1,1
"1442",1,1,1,1,1
"1444",0,0,0,0,1
"1446",1,1,1,1,1
"1447",1,1,1,1,1
"1448",1,1,1,1,1
"1449",0,0,0,0,1
"1450",1,1,1,1,1
"1453",0,0,0,0,1
"1454",1,1,1,1,1
"1455",1,1,1,1,1
"1459",1,1,1,1,1
"1460",1,1,1,1,1
"1461",1,1,1,1,1
"1463",0,0,0,0,1
"1465",0,0,0,0,1
"1467",0,0,0,0,1
"1469",1,1,1,1,1
"1472",1,1,0,1,1
"1482",1,1,1,1,1
"1483",1,1,1,1,1
"1485",1,1,1,1,1
"1486",1,1,1,1,1
"1490",1,1,1,1,1
"1491",0,0,0,0,1
"1494",1,1,1,1,1
"1495",0,0,0,0,1
"1496",1,1,1,1,1
"1497",0,0,0,0,1
"1499",1,1,1,1,1
"1500",1,1,1,1,1
"1501",1,1,1,1,1
"1503",1,1,1,1,1
"1504",0,0,0,0,1
"1508",1,1,1,1,1
"1509",1,1,1,1,1
"1510",1,1,1,1,1
"1513",0,0,0,0,1
"1515",1,1,1,1,1
"1520",1,1,1,1,1
"1521",0,0,0,0,1
"1523",0,0,0,0,1
"1524",0,0,0,0,1
"1525",1,1,1,1,1
"1528",1,1,1,1,1
"1529",1,1,0,1,1
"1530",1,1,1,1,1
"1531",0,0,0,0,1
"1533",1,1,1,1,1
"1534",0,0,0,0,1
"1535",0,0,0,0,1
"1536",1,1,1,1,1
"1537",1,1,1,1,1
"1538",0,0,0,0,1
"1539",1,1,1,1,1
"1541",1,1,1,1,1
"1542",0,0,0,0,1
"1543",0,0,0,0,1
"1544",0,0,0,0,1
"1545",1,1,1,1,1
"1546",0,0,0,0,1
"1547",0,0,0,0,1
"1549",0,0,0,0,1
"1552",0,0,0,0,1
"1556",1,1,1,1,1
"1557",1,1,1,1,1
"1562",1,1,1,0,1
"1565",0,0,0,0,1
"1567",0,0,0,0,1
"1568",0,0,0,0,1
"1569",1,1,1,1,1
"1571",1,1,1,1,1
"1572",1,1,1,1,1
"1574",1,1,1,1,1
"1575",0,0,0,0,1
"1576",1,1,1,1,1
"1577",0,0,1,0,1
"1579",1,1,1,1,1
"1582",1,1,1,1,1
"1583",1,1,1,1,1
"1584",0,0,0,0,1
"1587",1,1,1,1,1
"1589",1,1,1,1,1
"1590",0,0,0,0,1
"1591",1,1,1,1,1
"1592",0,0,0,0,1
"1599",1,1,1,1,1
"1600",1,1,1,1,1
"1606",1,1,1,1,1
"1608",1,1,1,1,1
"1609",1,1,1,1,1
"1611",0,0,0,0,1
"1612",0,0,0,0,1
"1613",1,1,1,1,1
"1615",1,1,1,1,1
"1620",1,1,1,1,1
"1622",1,1,1,1,1
"1623",0,0,0,0,1
"1624",1,1,1,1,1
"1626",1,1,1,1,1
"1627",1,1,1,1,1
"1631",1,1,1,1,1
"1632",1,1,1,1,1
"1635",0,0,0,0,1
"1637",1,1,1,1,1
"1638",1,1,1,1,1
"1639",1,1,1,1,1
"1641",1,0,0,0,1
"1644",0,0,0,0,1
"1647",0,0,0,0,1
"1649",0,0,0,0,1
"1650",1,1,1,1,1
"1652",0,0,0,0,1
"1654",1,1,1,1,1
"1655",0,0,0,0,1
"1656",1,1,1,1,1
"1658",1,1,1,1,1
"1659",1,1,1,1,1
"1661",0,0,0,0,1
"1662",1,1,1,1,1
"1663",0,0,0,0,1
"1667",0,0,0,0,1
"1669",1,1,1,1,1
"1671",1,0,0,0,1
"1673",0,0,0,0,1
"1674",1,1,1,1,1
"1677",1,1,0,1,1
"1678",1,1,1,1,1
"1682",1,1,1,1,1
"1683",1,1,1,1,1
"1685",1,1,1,1,1
"1687",1,1,1,1,1
"1689",0,0,0,0,1
"1692",1,1,1,1,1
"1693",1,1,1,1,1
"1694",0,0,0,0,1
"1696",1,1,1,1,1
"1697",0,0,0,0,1
"1700",0,0,0,0,1
"1702",1,1,1,1,1
"1703",1,1,1,1,1
"1706",1,1,1,1,1
"1708",1,1,1,1,1
"1709",0,0,0,0,1
"1711",0,1,1,0,1
"1712",1,1,1,1,1
"1716",0,1,1,1,1
"1717",1,1,1,1,1
"1723",1,1,1,1,1
"1727",0,0,0,0,1
"1728",1,1,1,1,1
"1730",1,1,1,1,1
"1732",0,0,0,0,1
"1735",0,0,0,0,1
"1740",1,1,1,1,1
"1744",0,0,0,0,1
"1746",1,1,1,1,1
"1749",0,0,0,0,1
"1752",1,1,1,1,1
"1754",1,1,1,1,1
"1756",1,1,1,1,1
"1758",1,1,1,1,1
"1759",0,0,0,1,1
"1762",0,0,0,0,1
"1770",0,0,0,0,1
"1774",1,1,1,1,1
"1775",0,0,0,0,1
"1777",1,1,1,1,1
"1778",0,0,0,0,1
"1779",0,0,0,0,1
"1780",0,0,0,0,1
"1782",0,1,1,0,1
"1783",1,1,1,1,1
"1784",1,1,1,1,1
"1786",1,1,1,1,1
"1787",1,1,1,1,1
"1792",1,1,1,1,1
"1796",1,1,1,1,1
"1797",1,1,1,1,1
"1799",1,1,1,1,1
"1800",1,1,1,1,1
"1806",0,0,0,0,1
"1807",1,1,1,1,1
"1808",0,0,0,0,1
"1809",1,1,1,1,1
"1810",1,1,1,1,1
"1811",0,0,0,0,1
"1817",1,1,1,1,1
"1823",1,1,1,1,1
"1825",1,1,1,1,1
"1826",0,0,1,0,1
"1827",0,0,0,0,1
"1829",0,0,0,0,1
"1830",1,1,1,1,1
"1834",1,1,0,1,1
"1835",0,0,0,0,1
"1836",0,0,0,0,1
"1842",0,0,0,0,1
"1845",0,0,0,0,1
"1846",1,1,1,1,1
"1848",0,0,0,0,1
"1849",1,1,1,1,1
"1850",1,1,0,1,1
"1851",1,1,1,1,1
"1856",1,1,1,1,1
"1857",0,0,0,0,1
"1858",1,1,1,1,1
"1860",1,1,1,1,1
"1862",1,1,1,1,1
"1864",1,1,1,1,1
"1866",1,1,1,1,1
"1868",1,1,1,1,1
"1869",0,0,0,0,1
"1872",1,1,1,1,1
"1875",1,1,1,1,1
"1878",1,1,1,1,1
"1881",1,1,1,1,1
"1882",1,1,1,1,1
"1883",1,1,1,1,1
"1884",1,1,1,1,1
"1886",1,1,1,1,1
"1887",0,0,0,0,1
"1888",1,1,1,1,1
"1890",0,0,0,0,1
"1891",1,1,1,1,1
"1892",1,1,1,1,1
"1894",1,1,1,1,1
"1895",0,0,0,0,1
"1896",1,1,1,1,1
"1897",0,0,0,0,1
"1900",1,1,1,1,1
"1901",0,0,0,0,1
"1902",0,0,0,0,1
"1906",1,1,1,1,1
"1909",1,1,1,1,1
"1910",1,1,1,1,1
"1911",1,1,1,1,1
"1913",0,0,0,0,1
"1920",1,1,1,1,1
"1921",0,0,0,0,1
"1922",1,1,1,1,1
"1924",0,0,0,0,1
"1926",1,1,1,1,1
"1927",1,1,1,1,1
"1931",1,1,1,1,1
"1932",1,1,1,1,1
"1933",1,1,1,1,1
"1934",0,0,0,0,1
"1938",1,1,1,1,1
"1939",1,1,1,1,1
"1945",1,1,1,1,1
"1946",1,1,1,1,1
"1947",0,0,0,0,1
"1948",1,1,1,1,1
"1949",1,1,1,1,1
"1950",0,0,0,0,1
"1951",0,0,0,0,1
"1952",0,0,0,0,1
"1954",1,1,1,1,1
"1955",1,1,1,1,1
"1956",1,1,1,1,1
"1958",1,1,1,1,1
"1962",0,0,1,0,1
"1963",1,1,1,1,1
"1964",1,1,1,1,1
"1965",0,0,0,0,1
"1970",1,1,1,1,1
"1972",0,0,0,0,1
"1974",1,1,1,1,1
"1976",1,1,1,1,1
"1979",1,1,1,1,1
"1982",0,0,0,0,1
"1983",1,1,1,1,1
"1984",1,1,1,1,1
"1986",1,1,1,1,1
"1987",1,1,1,1,1
"1992",0,0,0,0,1
"1993",1,1,1,1,1
"1994",1,1,1,1,1
"1997",1,1,1,1,1
"1998",1,1,1,1,1
"2001",1,1,1,1,1
"2002",0,0,0,0,1
"2003",1,1,1,1,1
"2006",0,0,0,0,1
"2008",1,1,1,1,1
"2013",1,1,1,1,1
"2015",1,1,1,1,1
"2019",1,1,1,1,1
"2020",1,1,1,1,1
"2021",0,0,0,0,1
"2022",1,1,1,1,1
"2023",1,0,1,1,1
"2027",0,0,0,0,1
"2031",1,1,1,1,1
"2034",0,0,0,0,1
"2035",1,1,1,1,1
"2036",1,1,1,1,1
"2043",1,1,1,1,1
"2048",0,0,0,0,1
"2050",0,0,0,0,1
"2054",0,0,0,0,1
"2056",1,1,1,1,1
"2057",1,1,1,1,1
"2059",1,1,1,1,1
"2062",1,1,1,1,1
"2065",1,0,0,0,1
"2066",0,0,0,0,1
"2068",1,0,0,0,1
"2073",1,1,1,1,1
"2074",1,1,1,1,1
"2077",0,0,0,0,1
"2078",1,1,1,1,1
"2080",0,0,0,0,1
"2082",0,0,0,0,1
"2083",0,0,0,0,1
"2084",1,1,1,1,1
